"Sans Nom";"";"";"1";"1";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"1";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"LA GUERRE EN PROVINCE PENDANT LE SIEGE DE PARIS ";"1870 - 1871";"DE FREYCINET  Charles --";"1";"1";"acheté 70 fr chez un bouqu années 90";"200";"1872    ";"PARIS / MICHEL LEVY";"";"449";"14 X 23";"BROCHE / ETAT MOYEN ";"D 2";"";"";"GUERRE FRANCO-ALLEMANDE : 1870 - 1871";"OPERATIONS";"ARMEE DE LA LOIRE / SIEGE DE PARIS / ";"ARMEE DE L'EST ";"";"";"";"";"";"";"1995    ";"100";"BOUQUINISTE :  ?";"";"";"";"";"";"";"";"";"";"";"CARTES  :   ++";"";"";"ANALYSE QUI SEMBLE TRES SERIEUSE DES OPERATIONS DES    ARMEES DE SECOURS  . 

L'OUVRAGE ANALYSE  DEUX CAMPAGNES  :   CELLE  DE LA LOIRE AVEC LES OPERATIONS AUTOUR DE PARIS 
                                                                               CELLE DE L'EST 

SANS ILLUSTR. 
2 CARTES DES THEATRES CORRESPONDANTS ";"";"";"";"";"";"";"";"";"";""
"MEMOIRES DE GUERRE ";"";"DE GAULLE   Général Charles  -- ";"1";"3";"achté pour 22E ( 145 fr )  brocante Lons avril 201";"";"1954    ";"PARIS / PLON ";"";"2000";"14.5  X 23";"BROCHE / BON ETAT ";"C 5 ";"";"";"DEUX GUERRES MONDIALES ";"MEMOIRES  / OPERATIONS / DIPLOMATIE";"GENERAL DE GAULLE / FRANCE LIBRE / ";"";"";"";"";"";"";"";"2011    ";"130";"BROCANTE  LONS";"";"";"";"";"";"";"";"";"";"";"CARTE    +";"";"";"OUVRAGE CELEBRE QUE JE N AI JAMAIS LU MAIS QUE TOUT LE MONDE S ACCORDE A DIRE DES PLUS INTERESSZANTS 
ET DE PLUS FORT BIEN ECRIT . 
J AI COMMENCE A LE LIRE   .  PRESQUE FINI LE TOME 1  .  PASSIONNANT .  DE GAULLE Y REPREND AU DEBUT BEAUCOUP D IDEES EXPOSEES DANS SON OUVRAGE  VERS L ARMEE DE METIER  . 

LE GENERAL DE GAULLE Y RELATE SON ROLE DANS  LA GUERRE  39 - 45  

SE REPARTIT EN TROIS TOMES   :  
             1  :  L' APPEL   :  1940 - 1942
             2  :  L' UNITE  :   1942 - 1944
             3  :  LE  SALUT  :  1944 - 1946


SANS ILLUSTR .   /  UNE OU DEUX CARTES GENERALES A LA FIN DE CHAQUE TOME  / 
TRES NOMBREUSES PIECES JUSTIFICATIVES ";"";"";"";"";"";"";"";"";"";""
"VERS L'ARMEE DE METIER ";"";"DE GAULLE  Charles ";"1";"1";"acheté 65 fr à la brocante de Lons en 2007e ";"";"1944    ";"PARIS / BERGER - LEVRAULT";"";"231";"12 x 19";"BROCHE / NON COUPE ";"K 3";"";"";"GUERRE 39 - 45 ";"ETUDE";"ETUDE SUR L'EVOLUTION DE L'ARMEE ";"ARME BLINDEE MODERNE";"";"";"";"";"";"";"2007    ";"60";"BROCANTE LONS ";"";"";"";"";"";"";"";"";"";"";"";"";"";"PASSIONNANT . 

SANS ILLSUTR NI CARTE ";"";"";"";"";"";"";"";"";"";""
"APRES LA DEFAITE ";"";"DE JOUVENEL  Bertrand ..";"1";"1";"acheté 30 fr chez un bouqu vers 1980";"";"1941    ";"PARIS / PLON";"";"263";"14 X 21";"BROCHE / ETAT CORRECT";"C 1";"";"";"SECONDE GUERRE MONDIALE ";"ETUDE";"PERIODE AVANT-GUERRE /    ";"CAMPAGNE DE FRANCE DE 1940";"";"";"";"";"";"";"1983    ";"50";"BOUQUINISTE  (  ALLEREY   )";"";"";"";"";"";"";"";"";"";"";"";"";"";"Je n'ai pas encofre lu ce bouquin  QUI SEMBLE TRES INTERESSANT . 

L' auteur analyse , EN 1941 , LA PERIODE D' AVANT GUERRE , LES CAUSES DU CONFLIT,  LES RESPONSABILITES DE CHACUN ,  LA DEFAITE  DE 40  ET LA NOUVELLE SITUATION . 


SANS ILLUSTR  NI CARTE";"";"";"";"";"";"";"";"";"";""
"LE MARECHAL DE LA FORCE  1558 - 1652";"";"DE LA FORCE    Duc de --";"1";"1";"acheté 50 fr les deux vol chez un bouqu années 80";"";"1924    ";"PARIS / ED. EMILE PAUL";"";"600";"14 X 20.5";"BORCHE / BON ETAT";"D 1";"";"";"ANCIEN REGIME ";"BIOGRAPHIE /  OPERATIONS";"SAINT BARTHELEMY / REGNE DE HENRI IV";"REGNE DE LOUIS XIII";"";"";"";"";"";"";"1985    ";"100";"BOUQU.   ALLEREY";"";"";"";"";"";"";"";"";"";"";"";"BIBLIOGRAPHIE  ++++";"";"BIOGRAPHIE TRES COMPLETE EN DEUX VOLUMES DE 300 P CHACUN DE CE GRAND PERSONNAGE ";" 

COUVRE L' HISTOIRE GENERALE ET MILITAIRE A PEU PRES DEPUIS LA SAINT BARTHELEMY JUSQU'AU DEBUT DU REGNE DE LOUIS XIV

SANS ILLUSTR. NI CARTE  

n'ayan,t pas encore eu le temps de lire ce gros ouvrage , je ne peux renseigner les mots clés pour le moment . mais l'ouvrage fourmille 
d'anecdote sur tous les personnages de la période considérée . 
";"";"";"";"";"";"";"";"";"";""
"FONTENOY 1745";"";"DE LA FUYE  Maurice --";"1";"1";"acheté 35 fr chez un bouqu";" années 80";"";"1945    ";"PARIS / DENOEL";"";"290";"13 X 19";"RELIE TOILE/ BON ETAT";"D 1";"";"";"ANCIEN REGIME ";"OPERATIONS";"LOUIS XV / MARECHAL DE SAXE / FONTENOY  / ";"CUMBERLAND / BIRON / CHABANNES / ";"ANTERROCHES / RICHELIEU / NOAILLES ";"";"";"";"";"";"1985    ";"50";"BOUQU.   ALLEREY";"";"";"";"";"";"";"";"";"";"";"CARTES  :   ++";"BIBLIOGRAPHIE +++";"";"TRES BON OUVRAGE SUR LA BATAILLE DE FONTENOY ";" 

L'AUTEUR ETUDIE EGALEMENT LES EVENEMENTS QUELQUES ANNEES AVANT 1745 ET LES CONSEQUENCES DE LA
BATAILLE ";" 

SANS ILLUSTR. / 1 CARTE PAS TROP MAL A LA FIN ";"";"";"";"";"";"";"";"";"";""
"FRANCAIS ET ALLEMANDS";"HIST. ANECDOTIQUE DE LA GUERRE DE 1870 - 1871";"DE LONLAY     Dick --..";"1";"2";"acheté 140 fr les 2 vol  chez un bouqu  années 80";"";"1887    ";"PARIS / GARNIER FRERES ED.";"";"1500";"14 x 23";"BROCHE  / MEDIOCRE";"D 1";"";"";"GUERRE FRANCO-ALLEMANDE : 1870 - 1871";"OPERATIONS / ANECDOTES";"SARREBRUCK / SPICHEREN / RETRAITE SUR METZ";"PONT-A-MOUSSON /  BORNY /";"NIEDERBRONN / WISSEMBOURG 1870 / ";"FROESCHWILLER / CHALONS / REIMS / BUZANCY";"BEAUMONT / MOUZON / BAZEILLES / SEDAN ";"";"";"";"1985    ";"200";"BOUQUINISTE  NANCY";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE     ++";"";"";"";"OUVRAGES CELEBRES SUR LA GUERRE DE 1870 PAR CET ECRIVAIN CELEBRE LUI AUSSI  QUI AVAIT EN PLUS UN TALENT DE DESSINATEUR ET QUI A EMAILLE LES PAGES DE SES OUVRAGES DE DESSINS A LA PLUME N ET BLANC 
PAS MAL . 

J'ai deux volumes , qui couvrent toutes les opérations actives de la première phase de la guerre  :  BATAILLE SUR LES FRONTIERES,
BATAILLES AUTOUR DE METZ  ,  BATAILLE DE SEDAN  . 

Les pages de garde indiquent que se trouvent en préparation plusieurs autres volumes  sur les sièges  et les opérations des armées de
secours dans la seconde aprtie de la guerre . J'ignore si ces volumes ont paru , ne les ayant jamais vus  .
Je possède donc   : 

le volume  1  :  NIEDERBRONN / WISSEMBOURG / FROESCHWILLER / CHALONS / REIMS / BUZANCY / BEAUMONT / 
                               MOUZON / BAZEILLES  /  SEDAN 

le volume  2  :   SARREBRUCK / SPICHEREN / LA RETRAITE SUR METZ / PONT-A-MOUSSON  / BORNY

Mon futur travail sera de me renseigner sur les volumes restant et de me les procurer si possible .   

CES OUVRAGES SONT TRES DETAILLES ET TRES INTERESSANTS .";"";"";"";"";"";"";"";"";"";""
"JOURNAL D'UN OFFICIER DE TURCOS  1870";"";"DE NARCY   Louis --";"1";"1";"acheté 20 E env. 130 FR en 2004";"";"2004    ";"PARIS/ GIOVANANGELI";"";"254";"14 X 23";"BORCHE / NEUF/ EXCELLENT";"D 2";"";"";"GUERRE FRANCO-ALLEMANDE : 1870 - 1871";"MEMOIRES  / OPERATIONS";"WISSEMBOURG 1870  /  FROESCHWILLER ";"RETRAITE DE L'ARMEE DU RHIN EN LORRRAINE ";"CAMP DE CHALONS / ARMEE DE SEDAN ";"BATAILLE DE SEDAN ";"";"";"";"";"2004    ";"100";"PARIS / FNAC ";"";"";"";"";"";"";"";"";"";"";"";"";"";"EXCELLENT OUVRAGE QUI SE LIT COMME UN ROMAN . 

L'auteur a participé au combat de WISSEMBOURG , à la bataille de FROESCHWILLER , puis retraité au CAMP DE CHALONS , 
puis à la bataille de SEDAN  . 

Beaucoup d'anecdotes , la vraie vie de l'officier combattant ";"  OUVRAGE DU PLUS GRAND INTERET . 

SANS ILLUSTR NI CARTE ";"";"";"";"";"";"";"";"";"";""
"MEMOIRES DE MONSIEUR DE PONTIS";"";"DE PONTIS   Monsieur ---";"1";"1";"acheté neuf 139 fr  vers 1990";"180";"1986    ";"PARIS / MERCURE DE FRANCE";"LE TEMPS RETROUVE";"354";"14 X 20.5";"BROCHE  / NEUF ";"D 1";"";"";"ANCIEN REGIME ";"MEMOIRES  / OPERATIONS";"SIEGE DE MONTAUBAN / SIEGE D'ARRAS";"CAMPAGNE DE FLANDRES EN 1635 / ";"SAC DE TIRLEMONT / SIEGE DE LA ROCHELLE ";"RANTZAU / GUEBRIANT / ";"";"";"";"";"1990    ";"50";"LIBRAIRIE  ( Paris ou Lons ) ";"";"";"";"";"";"";"";"";"";"";"";"";"INDEX  +++";"EXCELLENTS MEMOIRES  DE CETTE EXCELLENTE COLLECTION  ( qui mêlle mémoires militaires et civils , aussi intéressants les uns que les autres  ) 

L'AUTEUR COMMENCE COMME SIMPLE MILITAIRE ET TERMINE MARECHAL DE CAMP  .  IL SERRT HENRI IV , LOUIS XIII ,
PUIS LOUIS XIV .  MAIS L'ESSENTIEL DE SA CARRIERE SE DEROULE SOUS LOUIS XIII  ";" 

IL NOUS PARLE   DU SIEGE DU CHATEAU DE SAVIGNY SUR ORGE / DE LA GUERRE DES PRINCES / DU SIEGE DE MONTAUBAN / DU SIEGE DE LA ROCHELLE / DU PAS DE SUZE / DE LA JOURNEE DES DUPES  / DE LA CAMPAGNE  DE FLANDRE DE 1635 / DU SAC DE TIRLEMONT / DU SIEGE D'ARRAS   /  

PUIS DES PREMIERES CAMAGNES EN ALLEMAGNE DE LOUIS XIV , SOUS RANTZAU ET GUEBRIANT ";" 

SANS ILLUSTR. NI CARTE   /  INDEX DES NOMS  / PAS DE BIBLIO 

OUVRAGE TRES INTERESSANT SUR LA VIE MILITAIRE ET UNE PARTIE DES OPERATIONS DU TEMPS DE LOUIS XIII";"";"";"";"";"";"";"";"";"";""
"JUSQU'AU  RHIN ";"";"DE POUVOURVILLE   A. -- ";"1";"1";"acheté 50 fr chez un bouqu  années 90";"";"1916    ";"PARIS / BERGER - LEVRAULT";"";"368";"12 x 19";"BROCHE / BON ETAT ";"C 5";"";"";"GUERRE  1914 -  1918";"ETUDE";"";"";"";"";"";"";"";"";"1990    ";"70";"BOUQUINISTE   ( ?  )";"";"";"";"";"";"";"";"";"";"";"CARTES  :   ++";"";"";"OUVRAGE VIOLEMMENT PATRIOTIQUE ECRIT EN PLEINE GUERRE  ( 1916 ) 

L'auteur analyse les débuts de la guerre , sa suite probable , ses buts . Le tout avec un vocabulaire exacerbé , tant pour parler de son amour de la France que de sa haine du peuple Germanique . 
C'est un peu caricatural , mais symptomatique de l'état d'esprit de l'époque . 
A CE TITRE ,   TRES INTERESSANT  

QQ CARTES ";"";"";"";"";"";"";"";"";"";""
"SERVITUDE ET GRANDEUR MILITAIRES ";"";"DE VIGNY  Alfred";"1";"1";"";"";"";"";"";"0";"";"";"G 2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VOIR FICHE A CE TITRE EN SERIE  HG";"";"";"";"";"";"";"";"";"";""
"LE COUP DE FAUX ";"ASSASSINAT D' UNE VILLE ";"DE WAILLY     Henry ..";"1";"1";"acheté neuf 72 fr années 1980 ";"150";"1980    ";"PARIS / COPERNIC";"";"256";"15 X 22";"BROCHE / NEUF / EXCELLENT";"K 3";"";"";"SECONDE GUERRE MONDIALE ";"OPERATIONS";"ABBEVILLE  / JUIN 1940";"";"";"";"";"";"";"";"1985    ";"100";"LONS  ? ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE ++";"CARTES +";"BIBLIOGRAPHIE ++";"";"HISTOIRE DE LA BATAILLE  DE LA PRISE ET DE LA DESTRUCTION D ABEVILLE  EN JUIN 1940

OUVRAGE TRES INTERESSANT PAR CET AUTEUR SPECIALISE DANS  L HISTOIRE DU SECOND CONFLIT MONDIAL . 

ILLUSTR.  :  cahier d'illustr";" n et blanc en milieu de livre . 

AUCUNE CARTE  ( sauf un ploan de la ville d'Abeville )  /  BIBLIOGRAPHIE SOMMAIRE ";"";"";"";"";"";"";"";"";"";""
"WEYGAND , DE GAULLE ET QUELQUES AUTRES";"LA SOMME 16- 28 MAI 1940";"DE WAILLY     Henry ..";"1";"1";"acheté neuf 135 fr vers 1984";"240";"1983    ";"PARIS / LAVAUZELLE";"";"379";"16 X 23.5 ";"BROCHE / EXCELLENT ";"K 3";"";"";"SECONDE GUERRE MONDIALE ";"OPERATIONS";"LA SOMME  MAI 1940 /  LES CHARS  ";"CAMPAGNE DE FRANCE 1940";"DE GAULLE / WEYGAND / GAMELIN /";"GEORGES / ";"";"";"";"";"1984    ";"100";"LIBRAIRIE  ( Paris ou Lons ) ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE +++";"";"BIBLIOGRAPHIE +++";"";"LIVRE TRES INTERESSANT ET TRES DETAILLE SUR LA BATAILLE DE LA SOMME EN MAI 1940

CAHIER D ILLUSTRATION N ET BLANC AU MILIEU DE L OUVRAGE TRES INT. 

PAS DE CARTE  /  BIBLIOGRAPHIE ASSEZ COMPLETE ";"";"";"";"";"";"";"";"";"";""
"CRECY 1346   ";"AUTOPSIE D'UNE BATAILLE";"DE WAILLY     Henry..";"1";"1";"offert par Maman à Noel  87  ( 175 fr )";"250";"1985    ";"PARIS / LAVAUZELLE";"";"93";"23 X 31";"RELIE /CARTONNE / EXCELLENT";"A 2";"";"";"";"OPERATIONS";"CRECY  / PHILIPPE VI DE VALOIS ";"EDOUARD III D' ANGLETERRE";"FROISSARD ";"";"";"";"";"";"1987    ";"100";"LIBRAIRIE  ( Paris ou Lons ) ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE ++++";"CARTES +++";"BIBLIOGRAPHIE +++";"";"TRES BON LIVRE MODERNE SUR CETTE GRANDE BATAILLE DU MOYEN AGE 
 
 BEAUCOUP D ILLUSTRATIONS  TRES INTERESSANTES   ( essentiellement en n  et blanc  )
Gravures d'époque , mais aussi vues actuelles du sites , photos  et vues d'avion montrant les emplacements de batiments ayant disparu  etc , etc....

NOMBREUSES CARTES
NOTICE  BIBLIO";"";"";"";"";"";"";"";"";"";""
"VIEILLES HISTOIRES DE LA PATRIE ";"";"DE WITT  Madame  .. née GUIZOT";"1";"1";"";"";"";"";"";"0";"";"";"Z 4";"";"";"MOYEN AGE";"";"CROISADES / GUERRE DE CENT ANS  ";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VOIR FICHE A CE TITRE EN SERIE HISTOIRE GENERALE  . 

IL S AGIT DE 7 RECITS  CONCERNANT ESSENTIELLEMENT  LE MOYEN AGE . ILS TRAITENT BEAUCOUP D HISTOIRE MILITAIRE   ( Charlemagne , Croisades , Guerre de Cent ans )    et sont établis d'après les chroniqueurs de l'époque  Froissard , Joinville etc.... ";"";"";"";"";"";"";"";"";"";""
"MAI-JUIN 40 / LES COMBATTANTS DE L'HONNEUR";"";"DELMAS ( Col. Jean -) / DEVAUTOUR ( col. P. - )";"1";"1";"acheté neuf environ 300 fr en 1980";"600";"1980    ";"PARIS / COPERNIC";"";"232";"26 X 28";"RELIE CARTONNE/NEUF/EXC.";"A 2";"";"";"SECONDE GUERRE MONDIALE ";"OPERATIONS";"CAMPAGNE DE FRANCE / MAI JUIN 1940";"GEMBLOUX /  MONTHERME / LA MEUSE";"STONNE / TANNAY / LE MONT DIEU / ";"LILLE  / DUNKERQUE / ";"LA 16° DI A AMIENS / L' AISNE ";"VONCQ / CHATEAU PORCIEN /";"ARMEE DES ALPES ";"";"1980    ";"300";"PARIS  FNAC";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  ++++";"CARTES +++";"";"";"EXCELLENT OUVRAGE MODERNE SUR LA CAMPAGNE DE FRANCE EN MAI JUIN 1940

OUVRAGE REMPLI DE PHOTOS DE L' EPOQUE .  LE LIVRE S' ATTACHE SURTOUT AUX EPISODES 
OU L' ARMEE FRANCAISE A RESISTE HEROIQUEMENT  :   

GEMBLOUX /  DEFENSE DE LA MEUSE A MONTHERME  /  STONNE , TANNAY,  LE MONT DIEU  /
LILLE /  DUNKERQUE  /   LA 16° DI AU SUD D' AMIENS  /  SUR LAISNE DE VONCQ A CHATEAU
PORCIEN  /  L' ARMEE DES ALPES  .

OUVRAGE DU PLUS GRAND INTERET  .   NOMBREUSES CARTES  . BEAUCOUP DE PHOTOS MAGNIFIQUES";"";"";"";"";"";"";"";"";"";""
"AUJOURD' HUI  LA GUERRE  ? ";"";"DEPRET  Jacques ";"1";"1";" acheté neuf 65 fr en 1982";"130";"1982    ";"MONACO / ED. DU ROCHER ";"";"190";"14 X 22.5";"BROCHE / T BON ETAT";"C 1";"";"";"EPOQUE MODERNE ( FIN 20° SIECLE ) ";"ETUDE ";"GUERRE FROIDE";"TROISIEME GUERRE MONDIALE ";"";"";"";"";"";"";"1982    ";"60";"LONS ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  ++";"";"";"INDEX +";"ESSAI  / ETUDE  GEO-  STRATEGICO- POLITIQUE SUR LES POSSIBILITES D' UN TROISIEME CONFLIT MONDIAL ,   ECRIT EN 1982  ( à l'époque où la chose semblait possible ) 

NE MANQUE PAS D ' INTERET . 

CAHIER D' ILLUSTR N ET BLANC EN MILIEU DE LIVRE .   /   PAS DE CARTE 

INDEX DES  NOMS CITES  ( sommaire )    ";"";"";"";"";"";"";"";"";"";""
"CHUTE DU SECOND EMPIRE ";"HISTOIRE DE LA CHUTE DU SECOND EMPIRE";"DESCHAMPS  Auguste ";"1";"1";"acheté env 50 fr en 2009 Vente Ench. Bibl HENRI MA";"";"1871    ";"PARIS / LACROIX , VERBOECKEVEN ED. ";"";"488";"14,5 x 22";"RELIE / PARFAIT ETAT ";"D 2";"";"";"GUERRE FRANCO-ALLEMANDE : 1870 - 1871";"";"";"";"";"";"";"";"";"";"2009    ";"100";"VENTE ENCH. HENRI MAIRE ";"";"";"";"";"";"";"";"";"";"";"";"";"";"BOUQUIN QUI SEMBLE TRES INTERESSANT .  Traitede la FINDE L EMPIRE SUR LES PLANS POLITIQUES ET MILITAIRES . 

RELATE L INTTEGRALITE DE LA GUERRE FRANCO ALLEMANDE  SUR AU MOINS LA MOITIE DU BOUQUIN . 




EX LIBRIS DE LA BIBLI DU COMMANDANT GRAND 

COTE  : j'ai acheté ce bouquin à vil prix lors la vente aux enchères ( 7° Vente ) de la Bilb HENRI MAIRE . Voir relation de cettte vente au bouqin   :coma:  RECITS DE GUERRE  par le Géénral bruneau ) .  ";"";"";"";"";"";"";"";"";"";""
"SOUVENIRS DU CAPITAINE DREYFUS";"";"DREYFUS  Alfred ";"1";"1";"acheté e'nv. 60 FR vente ench. Henri Maire 2009";"";"1936    ";"PARIS / GRASSET";"";"449";"14 x 20.5";"RELIE / PARFAIT ETAT ";"C 4";"";"";"EPOQUE ENTRE GUERRE DE 70 ET GUERRE DE 14";"BIOGRAPHIE /  ETUDE GENERALE ";"AFFAIRE DREYFUS";"";"";"";"";"";"";"";"2009    ";"100";"VENTE ENCH. HENRI MAIRE ";"";"";"";"";"";"";"";"";"";"";"";"";"";"BIOGRAPHIE  SOUVENIRS ET CORRESPONDANCE DU CAPITAINE DREYFUS   PUBLIES PAR SON FILS . 

Semble trsè intéressant .

Livre acheté à vil prix à la vente aux Enchère Henri Maire ( 7° session , novembre 2009 .  Voir détails sur cettes vente au titre 
:coma: Récits de Guerre par le Géénral BRUNEAU  :coma:  ) 

Porte l'ex libris de la Bibli du Commandant GRAND  d'Arbois  . ";"";"";"";"";"";"";"";"";"";""
"LE DIMANCHE DE BOUVINES ";"27 JUILLET 1214";"DUBY  Georges ";"1";"1";"";"";"";"";"TRENTE JOURNEES QUI ONT FAIT LA FRANCE";"0";"";"";"K 2";"";"";"";"";"BOUVINES / PHILIPPE - AUGUSTE";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VOIR FICHE A CE TITRE EN SERIE  HG";"";"";"";"";"";"";"";"";"";""
"LA GUERRE DE 1914 - 1918";"";"DUFFOUR  Colonel ";"1";"2";"Provient de la  :coma: Collection Azan  :coma:";"";"1924    ";"ECOLE SUPERIEURE DE GUERRE";"";"500";"22 X 27.5";"BROCHE / BON ETAT";"C 5 ";"";"";"GUERRE  1914 -  1918";"OPERATIONS";"";"";"";"";"";"";"";"";"1982    ";"200";"CollEC.  AZAN ";"";"";"";"";"";"";"";"";"";"";"";"";"";"IL S AGIT DU COURS D HISTOIRE SUR LA GUERRE 14 18 DISPENSE AUX ELEVES DE 
L ECOLE SUPERIEURE DE GUERRE DANS LES ANNEES 20

DONC OUVRAGE DE REFERENCE   ECRIT PAR UN SPECIALISTE POUR DES SPECIALISTES 

Malheureusement , je n'ai que les deux premiers tomes  ";"  il manque le dernier  ( année  1918  )
Le Tome 1 couvre toute :l'année  1914
Le Tome 2      :coma:          les années  1915 , 1916 , 1917  

DU PLUS HAUT INERET  /    SANS ILLUSTR.  NI CARTE   ";"";"";"";"";"";"";"";"";"";""
"CONQUETE DU DAHOMEY";"";"DUFOUR Pierre ";"1";"1";"";"";"1991    ";"";"";"14";"";"";"K 3";"";"";"GUERRES COLONIALES";"OPERATIONS";"DAHOMEY  /  COLONEL DODDS";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  ++";"";"";"";"ARTICLE SECONDAIRE MAIS CEPENDANT INTERESSANT   DANS LE N° 25 DE LA PUBLICATION
PERIODIQUE  :coma:  LES GRANDES BATAILLES DE L'HISTOIRE :coma:  (  ARTICLE PRINCIPAL : LA CAMPAGNE 
DE TUNISIE 1943 :coma:  )  . 

Voir fiche à ce titre  .  ";"";"";"";"";"";"";"";"";"";""
"EN CAMPAGNE  1914-1915";"";"DUPONT Marcel";"1";"1";"acheté 50 fr chez un bouqu  années 1980";"150";"1915    ";"PARIS / PLON";"";"321";"12 x  19";"BROCHE  / MEDIOCRE";"C 5";"";"";"GUERRE  14 -  18";"MEMOIRES";"1914 /  LA MARNE /1915 / OFFICIER / INFANTERIE ";"";"";"";"";"";"";"";"1985    ";"80";"BOUQU. ( Allerey ou Nancy ?  )";"";"";"";"";"";"";"";"";"";"";"";"";"";"OUVRAGE DU PLUS GRAND INTERET ECRIT PAR CELUI QUI EST DEVENU PLUS TARD UN CELEBRE HISTORIEN MILITAIRE ";""
"
DANS CE LIVRE IL EST OFFICIER D INFANTERIE AU DEBUT DE LA GUERRE DE 14 ET RACONTE SES SOUVENIRS AVEC UN STYLE EXCELLENT ET TRES VIVANT ";" ";"";"";"";"";"";"";"";"";"";""
"SABRE AU POING ";"";"DUPONT Marcel";"1";"1";"acheté 50 fr chez un bouqu années 80";"150";"1931    ";"PARIS / BERGER - LEVRAULT";"";"197";"17 x 25";"BROCHE / ETAT CORRECT ";"C 5";"";"";"GUERRE  14 -  18";"OPERATIONS";"32° DRAGONS / 10° CHASSEURS /  7° HUSSARDS";"AOUT 1914 / GUERRE 14-18 / CAVALERIE /";"COMBATS DE CAVALERIE ";"";"";"";"";"";"1985    ";"100";"BOUQU. ( Allerey ou Nancy ? ) ";"";"";"";"";"";"";"";"";"";"";"CARTES  +++";"";"";"OUVRAGE PASSIONNANT DE CE CELEBRE ET EXCELLENT AUTEUR MILITAIRE

M. DUPONT DECRIT 10 COMBATS DE CAVALERIES MENES PAR LES FRANCAIS AU DEBUT DE LA GUERRE DE 1914
Ces combats de cavalerie engagent en général de petites unités , du peloton à l'escadron   ";" c'est donc plus un ouvrage qui vise à décrire des épidodes 
héroiques , des histoires d'hommes ou de groupes d'homme , plutôt que de décrire des opérations connues de la guerre .

Chaque combat occupe une vingtaine de pages  ET SE TROUVE LE PLUS SOUVENT ACCOMPAGNE D'UNE CARTE D'ETAT MAJOR SUPER PRECISE 

les 7 premiers combats se déroulent en 1914  , les 3 derniers en 1918  .  

CES TEXTES SONT PARTICULIEREMENT BIEN ECRITS AVEC TOUT L ART DE M DUPONT ET TOTUE LA CONNAISSANCE QU'IL A DE LA CHOSE 
MILITAIRE ,AYANT ETE OFFICIER D'INFANTERIE PENDANT LA GRANDE GUERRE .

LES EPISODES DECRITS SONT  :    CHARGE DU PELOTON ROMAN A VANCE  /  UN PELOTON DU 32° DRAGONS A FRAITURE  /  LA CHARGE DU 
LIEUTENANT SAISON A MITTERSHEIM /  LA CHARGE DE L'ESCADRON LA TAILLE A LANDRES /  LA FIN DE L'ESCADRON GIRONDE / 
CINQ JOURS DE RECONNAISSANCE DANS LES LIGNES ALLEMANDES  /  RECONNAISSANCE ET CHARGE DU SOUS LIEUTENANT ROZOY A
CHERISY  .              CES 7 PREMIERES ACTIONS ONT LIEU EN AOUT ET SEPTEMBRE 1914
PUIS :   LE 4° ESCADRON DU 10° CHASSEURS LE 30 MAI 1918 /  LE 1ER ESCADRON DU 7° HUSSARDS A MAREUIL  /  A LA MANIERE DE LASALLE :
NOS CAVALIERS ENL7VENT NAPLOUSE  21 SEPTEMBRE 1918   .     CES 3 DERNIERES ACTIONS EN 1918  ";" 


NB   Je me suis rendu un jour personnellement en week-end en Lorraine et j'ai suivi exactement le récit de la charge du lieutenant Saison à Mittersheim , sur 
des leiux qui n'ont pas changé depuis l'époque .  voir récits de voyages en LORRAINE , années 80  . ";"";"";"";"";"";"";"";"";"";""
